,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
37,2024-05-19,16:00,Matchweek 38,Sun,Home,W,2,1,Everton,2.9,0.6,68,60312.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,47.0,3.0,38.0,2.0,26.0,5.0,14.1,0.0,0,-0.9,2023,Arsenal
0,2023-08-13,16:30,Matchweek 1,Sun,Away,D,1,1,Chelsea,1.3,1.4,35,40096.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,,24.0,2.0,21.0,2.0,13.0,1.0,17.8,0.0,0,-0.3,2023,Liverpool
1,2023-08-19,15:00,Matchweek 2,Sat,Home,W,3,1,Bournemouth,3.0,1.3,64,53145.0,Virgil van Dijk,4-3-3,Thomas Bramall,Match Report,,40.0,4.0,21.0,1.0,25.0,9.0,16.8,1.0,0,0.9,2023,Liverpool
2,2023-08-27,16:30,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,0.9,2.0,41,52214.0,Virgil van Dijk,4-3-3,John Brooks,Match Report,,16.0,3.0,10.0,3.0,9.0,4.0,17.2,1.0,0,1.1,2023,Liverpool
3,2023-09-03,14:00,Matchweek 4,Sun,Home,W,3,0,Aston Villa,2.5,0.7,63,50109.0,Trent Alexander-Arnold,4-3-3,Simon Hooper,Match Report,,32.0,2.0,22.0,0.0,17.0,4.0,14.7,0.0,0,-0.5,2023,Liverpool
4,2023-09-16,12:30,Matchweek 5,Sat,Away,W,3,1,Wolves,2.5,0.6,65,31257.0,Andrew Robertson,4-3-3,Michael Oliver,Match Report,,30.0,4.0,28.0,4.0,16.0,5.0,15.8,0.0,0,-0.5,2023,Liverpool
5,2023-09-24,14:00,Matchweek 6,Sun,Home,W,3,1,West Ham,3.0,1.1,63,50136.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,41.0,5.0,29.0,3.0,21.0,6.0,19.3,2.0,1,-0.2,2023,Liverpool
6,2023-09-30,17:30,Matchweek 7,Sat,Away,L,1,2,Tottenham,1.3,2.2,36,62001.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,,22.0,2.0,15.0,2.0,12.0,4.0,14.9,0.0,0,-0.3,2023,Liverpool
7,2023-10-08,14:00,Matchweek 8,Sun,Away,D,2,2,Brighton,2.3,2.3,54,31752.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,,28.0,4.0,23.0,3.0,13.0,3.0,18.8,0.0,1,-0.6,2023,Liverpool
8,2023-10-21,12:30,Matchweek 9,Sat,Home,W,2,0,Everton,2.2,0.1,77,50201.0,Virgil van Dijk,4-3-3,Craig Pawson,Match Report,,45.0,3.0,31.0,3.0,25.0,5.0,22.4,1.0,1,-0.4,2023,Liverpool
9,2023-10-29,14:00,Matchweek 10,Sun,Home,W,3,0,Nott'ham Forest,3.2,0.4,72,50143.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,35.0,4.0,26.0,3.0,21.0,8.0,19.5,2.0,0,-0.2,2023,Liverpool
10,2023-11-05,16:30,Matchweek 11,Sun,Away,D,1,1,Luton Town,2.6,0.8,73,11049.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,44.0,2.0,35.0,2.0,24.0,6.0,17.5,0.0,0,-1.6,2023,Liverpool
11,2023-11-12,14:00,Matchweek 12,Sun,Home,W,3,0,Brentford,1.7,1.6,58,50151.0,Virgil van Dijk,4-3-3,Paul Tierney,Match Report,,30.0,6.0,25.0,5.0,17.0,10.0,19.0,0.0,0,1.3,2023,Liverpool
12,2023-11-25,12:30,Matchweek 13,Sat,Away,D,1,1,Manchester City,0.6,1.3,41,53289.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,13.0,2.0,12.0,2.0,8.0,3.0,15.9,0.0,0,0.4,2023,Liverpool
13,2023-12-03,14:00,Matchweek 14,Sun,Home,W,4,3,Fulham,2.1,1.2,61,50124.0,Virgil van Dijk,4-3-3,Stuart Attwell,Match Report,,40.0,3.0,29.0,2.0,26.0,12.0,18.9,1.0,0,0.9,2023,Liverpool
14,2023-12-06,19:30,Matchweek 15,Wed,Away,W,2,0,Sheffield Utd,1.7,1.0,75,31406.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,,26.0,2.0,19.0,1.0,15.0,8.0,16.4,0.0,0,0.3,2023,Liverpool
15,2023-12-09,12:30,Matchweek 16,Sat,Away,W,2,1,Crystal Palace,1.2,1.7,76,25103.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,23.0,4.0,18.0,4.0,14.0,2.0,17.4,0.0,0,0.8,2023,Liverpool
16,2023-12-17,16:30,Matchweek 17,Sun,Home,D,0,0,Manchester Utd,2.3,0.8,68,57158.0,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,,64.0,0.0,43.0,0.0,34.0,8.0,17.7,0.0,0,-2.3,2023,Liverpool
17,2023-12-23,17:30,Matchweek 18,Sat,Home,D,1,1,Arsenal,1.0,0.7,52,57548.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,24.0,2.0,18.0,1.0,13.0,3.0,20.1,1.0,0,0.0,2023,Liverpool
